preset,prune_fraction,quant_bits,num_gaussians,packed_uncompressed_bytes,zlib_payload_bytes,raw_compression_ratio,zlib_compression_ratio,psnr,ssim,lpips,render_seconds_per_image,transfer_seconds_25mbps,transfer_seconds_50mbps,transfer_seconds_100mbps
baseline_f32,0.0,32,947033,223499965,194433945,1.0,1.0,29.770462036132812,0.927643895149231,0.15078939497470856,0.0030411127451303844,62.2188624,31.1094312,15.5547156
prune25_q16,0.25,16,710275,83812627,73441841,2.6666622083090177,2.6474546709688282,27.6234130859375,0.9006744623184204,0.16587114334106445,0.007147943651353991,23.50138912,11.75069456,5.87534728
prune50_q16,0.5,16,473516,55875065,49055435,3.9999947203640835,3.9635556182510663,23.422882080078125,0.817833423614502,0.23636390268802643,0.0024693785486994565,15.6977392,7.8488696,3.9244348
prune50_q8,0.5,8,473516,27938093,21222698,7.999828943228158,9.161603534102968,17.230667114257812,0.5652623772621155,0.5563374757766724,0.0025072613277950804,6.79126336,3.39563168,1.69781584
prune75_q8,0.75,8,236758,13969371,10814122,15.999286224125624,17.979633020600286,17.149887084960938,0.5617052316665649,0.5637918710708618,0.0021787978507377005,3.46051904,1.73025952,0.86512976
