preset,gaussians,payload_bytes,ratio,transform_ms,encode_ms,psnr_cpu_dc_only,ssim_cpu_dc_only
baseline_fp32,10000,2042613,1.0,0.8934519992180867,112.37325900037831,inf,1.0
prune25_q16,7500,765995,2.6666140118408084,5.790037999759079,41.85321099976136,57.21175943117335,0.9998418688774109
prune50_q16,5000,512716,3.9839072703016876,3.9867549985501682,27.9803310004354,47.9340263533001,0.9985835552215576
prune50_q8,5000,241627,8.453579277150318,5.825972999446094,15.497738999329158,42.47793593983853,0.9958917498588562
